pendaftarID,dateID,jalurID,departemenID,statusID,nilaiRapor,nilaiPortofolio,nilaiPrestasi,nilaiTKA,nilaiSAT,nilaiCambridge
1,7861,3,28,9,79,0,78,687,0,0
2,7839,3,4,9,83,0,68,829,0,0
3,7823,3,2,9,84,0,65,711,0,0
4,7851,3,22,9,82,82,65,767,0,0
5,7830,3,19,9,80,0,79,906,0,0
6,7837,3,11,9,85,46,65,845,0,0
7,7879,3,12,9,83,0,79,853,0,0
8,7865,3,5,15,87,0,78,469,0,0
9,7841,3,32,9,81,0,73,889,0,0
10,7838,3,32,15,81,0,80,495,0,0
11,7840,3,22,15,81,59,65,409,0,0
12,7831,3,12,9,85,0,66,454,0,0
13,7882,3,25,15,81,0,67,596,0,0
14,7838,3,13,9,85,0,78,745,0,0
15,7830,3,22,9,82,80,70,735,0,0
16,7837,3,29,9,85,0,73,904,0,0
17,7854,3,14,9,88,0,72,730,0,0
18,7841,3,33,15,79,0,69,426,0,0
19,7828,3,13,9,78,0,79,598,0,0
20,7862,3,28,15,80,0,69,603,0,0
21,7840,3,4,9,85,0,79,650,0,0
22,7830,3,18,9,85,86,69,718,0,0
23,7832,3,21,9,83,0,80,657,0,0
24,7842,3,33,15,75,0,69,660,0,0
25,7870,3,11,9,82,0,69,469,0,0
26,7879,3,20,9,83,0,69,643,0,0
27,7843,3,1,9,80,51,74,580,0,0
28,7878,3,27,15,78,100,78,658,0,0
29,7866,3,5,9,87,0,75,622,0,0
30,7846,3,26,15,81,78,73,593,0,0
31,7872,3,10,9,83,0,71,603,0,0
32,7853,3,23,9,87,0,68,640,0,0
33,7868,3,28,15,82,0,74,496,0,0
34,7873,3,25,15,85,0,68,536,0,0
35,7881,3,5,15,83,0,71,439,0,0
36,7865,3,13,9,81,0,71,758,0,0
37,7848,3,22,9,82,43,74,487,0,0
38,7857,3,8,9,81,0,78,639,0,0
39,7837,3,20,9,83,0,77,671,0,0
40,7832,3,13,9,84,0,77,953,0,0
41,7828,3,30,9,81,0,77,588,0,0
42,7854,3,19,9,87,0,77,959,0,0
43,7862,3,19,9,77,0,80,902,0,0
44,7863,3,19,9,79,0,74,728,0,0
45,7838,3,12,9,79,60,66,642,0,0
46,7849,3,1,9,85,0,75,497,0,0
47,7849,3,19,9,80,0,67,715,0,0
48,7839,3,17,15,84,90,65,560,0,0
49,7860,3,4,9,85,0,77,597,0,0
50,7861,3,14,9,82,91,69,682,0,0
51,7877,3,5,9,83,0,72,753,0,0
52,7828,3,33,15,78,0,71,596,0,0
53,7841,3,29,9,78,0,69,549,0,0
54,7849,3,11,9,81,0,76,573,0,0
55,7863,3,22,9,77,74,70,872,0,0
56,7849,3,5,9,84,0,69,808,0,0
57,7856,3,5,15,84,84,67,667,0,0
58,7825,3,18,9,84,0,74,580,0,0
59,7859,3,24,15,79,0,77,468,0,0
60,7830,3,15,9,79,0,70,411,0,0
61,7854,3,29,15,83,0,65,406,0,0
62,7858,3,14,9,82,0,68,815,0,0
63,7850,3,26,15,84,0,78,376,0,0
64,7873,3,29,9,84,0,66,569,0,0
65,7860,3,27,9,84,96,75,784,0,0
66,7823,3,14,9,78,80,71,812,0,0
67,7862,3,7,9,80,49,74,845,0,0
68,7830,3,24,9,86,0,77,723,0,0
69,7881,3,14,9,81,0,70,711,0,0
70,7849,3,29,9,86,0,74,713,0,0
71,7844,3,13,15,82,45,66,326,0,0
72,7867,3,18,15,80,83,80,481,0,0
73,7875,3,30,9,83,0,80,646,0,0
